pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
6ce0	H	L	0	G	protein	NA	envelope glycoprotein gp160	viral protein/immune system	02/09/18	Crystal structure of a HIV-1 clade B tier-3 isolate H078.14 UFO-BG Env trimer in complex with broadly neutralizing Fabs PGT124 and 35O22 at 4.6 Angstrom	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Kumar, S., Sarkar, A., Wilson, I.A.	4.602	X-RAY DIFFRACTION	0.341	0.313	False	True	IGHV4	unknown	unknown	None	None	None	None	None
6ce0	D	E	0	B	protein	NA	envelope glycoprotein gp160	viral protein/immune system	02/09/18	Crystal structure of a HIV-1 clade B tier-3 isolate H078.14 UFO-BG Env trimer in complex with broadly neutralizing Fabs PGT124 and 35O22 at 4.6 Angstrom	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Kumar, S., Sarkar, A., Wilson, I.A.	4.602	X-RAY DIFFRACTION	0.341	0.313	False	True	unknown	unknown	unknown	None	None	None	None	None
6w16	H	L	0	F	protein	NA	fusion glycoprotein f0,envelope glycoprotein fusion	IMMUNE SYSTEM	03/03/20	Crystal structure of a human metapneumovirus monomeric fusion protein complexed with 458 Fab	HUMAN METAPNEUMOVIRUS; HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human metapneumovirus, human immunodeficiencyvirus 1 	Huang, J., Mousa, J.J.	3.1	X-RAY DIFFRACTION	0.234	0.190	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5xjm	H	L	0	A	protein	NA	type-2 angiotensin ii receptor,soluble cytochrome b562,type-2 angiotensin ii receptor 	SIGNALING PROTEIN	05/02/17	Complex structure of angiotensin II type 2 receptor with Fab	HOMO SAPIENS; ESCHERICHIA COLI; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens, escherichia coli	Asada, H., Horita, S., Shimamura, T., Iwata, S.	3.2	X-RAY DIFFRACTION	0.275	0.226	False	True	IGHV5	IGKV4	Kappa	4.3e-10	-12.77823529775025	Unknown	NA	TBD
1n5y	H	L	0	B	protein	NA	reverse transcriptase	TRANSFERASE/IMMUNE SYSTEM/DNA	11/07/02	HIV-1 Reverse Transcriptase Crosslinked to Post-Translocation AZTMP-Terminated DNA (Complex P)	HUMAN IMMUNODEFICIENCY VIRUS 1; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Sarafianos, S.G., Clark Jr., A.D., Das, K., Tuske, S., Birktoft, J.J., Ilankumaran, P., Ramesha, A.R., Sayer, J.M., Jerina, D.M., Boyer, P.L., Hughes, S.H., Arnold, E.	3.1	X-RAY DIFFRACTION	0.285	0.255	False	False	IGHV8	IGKV10	Kappa	None	None	None	None	None
6w1c	I	M	0	F | B	protein | protein	NA | NA	e2 glycoprotein | e1 glycoprotein	VIRUS/IMMUNE SYSTEM	03/04/20	Human mAbs broadly protect against infection of arthritiogenic alphaviruses by recognizing conserved elements of the MXR8 receptor binding domain	MAYARO VIRUS (STRAIN BRAZIL); HOMO SAPIENS	homo sapiens	homo sapiens	mayaro virus (strain brazil) | mayaro virus (strain brazil)	Miller, A.S., Kuhn, R.J.	5.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGLV1	Lambda	None	None	None	None	None
6w1c	K	O	0	E	protein	NA	e2 glycoprotein	VIRUS/IMMUNE SYSTEM	03/04/20	Human mAbs broadly protect against infection of arthritiogenic alphaviruses by recognizing conserved elements of the MXR8 receptor binding domain	MAYARO VIRUS (STRAIN BRAZIL); HOMO SAPIENS	homo sapiens	homo sapiens	mayaro virus (strain brazil)	Miller, A.S., Kuhn, R.J.	5.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGLV1	Lambda	None	None	None	None	None
6w1c	L	P	0	H	protein	NA	e2 glycoprotein	VIRUS/IMMUNE SYSTEM	03/04/20	Human mAbs broadly protect against infection of arthritiogenic alphaviruses by recognizing conserved elements of the MXR8 receptor binding domain	MAYARO VIRUS (STRAIN BRAZIL); HOMO SAPIENS	homo sapiens	homo sapiens	mayaro virus (strain brazil)	Miller, A.S., Kuhn, R.J.	5.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGLV1	Lambda	None	None	None	None	None
6w1c	J	N	0	G	protein	NA	e2 glycoprotein	VIRUS/IMMUNE SYSTEM	03/04/20	Human mAbs broadly protect against infection of arthritiogenic alphaviruses by recognizing conserved elements of the MXR8 receptor binding domain	MAYARO VIRUS (STRAIN BRAZIL); HOMO SAPIENS	homo sapiens	homo sapiens	mayaro virus (strain brazil)	Miller, A.S., Kuhn, R.J.	5.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGLV1	Lambda	None	None	None	None	None
4y5v	A	B	0	C	protein	NA	erythropoietin receptor	protein binding/immune system	02/12/15	Diabody 305 complex with EpoR	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Moraga, I., Guo, F., Ozkan, E., Jude, K.M., Garcia, K.C.	2.604	X-RAY DIFFRACTION	0.229	0.187	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
4y5v	D	E	0	F	protein	NA	erythropoietin receptor	protein binding/immune system	02/12/15	Diabody 305 complex with EpoR	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Moraga, I., Guo, F., Ozkan, E., Jude, K.M., Garcia, K.C.	2.604	X-RAY DIFFRACTION	0.229	0.187	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
4y5v	G	H	0	I	protein	NA	erythropoietin receptor	protein binding/immune system	02/12/15	Diabody 305 complex with EpoR	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Moraga, I., Guo, F., Ozkan, E., Jude, K.M., Garcia, K.C.	2.604	X-RAY DIFFRACTION	0.229	0.187	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
5xj3	J	K	0	L	protein	NA	cytotoxic t-lymphocyte protein 4	IMMUNE SYSTEM	04/29/17	Complex structure of ipilimumab-scFv and CTLA-4	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	He, M., Chai, Y., Qi, J., Tong, Z., Tan, S., Gao, G.F.	3.2	X-RAY DIFFRACTION	0.264	0.222	False	True	IGHV3	IGKV3	Kappa	1.82e-08	-10.559151861398675	SPR	NA	TBD
5xj3	A	B	0	C	protein	NA	cytotoxic t-lymphocyte protein 4	IMMUNE SYSTEM	04/29/17	Complex structure of ipilimumab-scFv and CTLA-4	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	He, M., Chai, Y., Qi, J., Tong, Z., Tan, S., Gao, G.F.	3.2	X-RAY DIFFRACTION	0.264	0.222	False	True	IGHV3	IGKV3	Kappa	1.82e-08	-10.559151861398675	SPR	NA	TBD
5xj3	G	H	0	I	protein	NA	cytotoxic t-lymphocyte protein 4	IMMUNE SYSTEM	04/29/17	Complex structure of ipilimumab-scFv and CTLA-4	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	He, M., Chai, Y., Qi, J., Tong, Z., Tan, S., Gao, G.F.	3.2	X-RAY DIFFRACTION	0.264	0.222	False	True	IGHV3	IGKV3	Kappa	1.82e-08	-10.559151861398675	SPR	NA	TBD
5xj3	D	E	0	F	protein	NA	cytotoxic t-lymphocyte protein 4	IMMUNE SYSTEM	04/29/17	Complex structure of ipilimumab-scFv and CTLA-4	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	He, M., Chai, Y., Qi, J., Tong, Z., Tan, S., Gao, G.F.	3.2	X-RAY DIFFRACTION	0.264	0.222	False	True	IGHV3	IGKV3	Kappa	1.82e-08	-10.559151861398675	SPR	NA	TBD
5xj4	H	L	0	A	protein	NA	programmed cell death 1 ligand 1	IMMUNE SYSTEM	04/29/17	Complex structure of durvalumab-scFv/PD-L1	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Tan, S., Liu, K., Chai, Y., Gao, G.F., Qi, J.	2.3	X-RAY DIFFRACTION	0.24	0.21600000000000003	False	True	IGHV3	IGKV3	Kappa	6.670000000000001e-10	-12.518132096251593	SPR	NA	TBD
7r8u	H	L	0	A | B	protein | protein	NA | NA	unknown | unknown	SIGNALING PROTEIN/IMMUNE SYSTEM	01/08/09	LOX-1 - Structural and Functional Studies of a Receptor Implicated in Atherosclerosis	HOMO SAPIENS				Oganesyan, V., van Dyk, N.	1.901	X-RAY DIFFRACTION	0.218	0.186	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
7r8b	C	D	0	B | A	protein | protein	NA | NA	atp-binding cassette sub-family g member 8 | atp-binding cassette sub-family g member 5	LIPID TRANSPORT	09/08/21	The structure of human ABCG5/ABCG8 supplemented with cholesterol	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens | homo sapiens	Sun, Y., Li, X., Long, T.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV9	Kappa	None	None	None	None	None
7r8a	C	D	0	B | A	protein | protein	NA | NA	atp-binding cassette sub-family g member 8 | atp-binding cassette sub-family g member 5	LIPID TRANSPORT	09/08/21	The structure of human ABCG5/ABCG8 purified from mammalian cells	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens | homo sapiens	Sun, Y., Li, X., Long, T.	2.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV9	Kappa	None	None	None	None	None
7r8o	M	N	0	E	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	08/04/21	Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C548	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	DeLaitsch, A.T., Barnes, C.O., Bjorkman, P.J.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV9	Lambda	None	None	None	None	None
7r8o	H	L	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	08/04/21	Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C548	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	DeLaitsch, A.T., Barnes, C.O., Bjorkman, P.J.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV9	Lambda	None	None	None	None	None
7r8o	O	P	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	08/04/21	Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C548	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	DeLaitsch, A.T., Barnes, C.O., Bjorkman, P.J.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV9	Lambda	None	None	None	None	None
7r8n	M	N	0	E	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	08/04/21	Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C051	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Bjorkman, P.J.	3.55	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
7r8n	O	P	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	08/04/21	Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C051	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Bjorkman, P.J.	3.55	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
7r8n	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	08/04/21	Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C051	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Bjorkman, P.J.	3.55	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
7r8l	C	D	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	08/04/21	Structure of the SARS-CoV-2 RBD in complex with neutralizing antibody C099 and CR3022	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Bjorkman, P.J.	2.6	X-RAY DIFFRACTION	0.229	0.180	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
7r8l	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	08/04/21	Structure of the SARS-CoV-2 RBD in complex with neutralizing antibody C099 and CR3022	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Bjorkman, P.J.	2.6	X-RAY DIFFRACTION	0.229	0.180	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
3ru8	H	L	0	X	protein	NA	epitope scaffold 2bodx43	DE NOVO PROTEIN, IMMUNE SYSTEM	05/04/11	Structure of an HIV epitope scaffold in complex with neutralizing antibody b12 Fab	HUMAN IMMUNODEFICIENCY VIRUS, SYNTHETIC CONSTRUCT, THERMOMONOSPORA FUSCA; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus, syntheticconstruct, thermomonospora fusca 	Carrico, C.T.D., Strong, R.K.	2.07	X-RAY DIFFRACTION	0.203	0.168	False	True	IGHV1	IGKV3	Kappa	3.35e-08	-10.19	SPR	25	22021856
7mrz	X	Y	0	C	protein	NA	activin receptor type-2b,activin receptor type-1b	SIGNALING PROTEIN/IMMUNE SYSTEM	01/19/22	Structure of GDF11 bound to fused ActRIIB-ECD and Alk4-ECD with Anti-ActRIIB Fab fragment	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Goebel, E.J., Kattamuri, C., Gipson, G.R., Thompson, T.B.	3.0	X-RAY DIFFRACTION	0.327	0.288	False	True	IGHV4	IGKV4	Kappa	None	None	None	None	None
5vpg	D	C	0	A	protein	NA	der p 1 allergen	HYDROLASE/IMMUNE SYSTEM	05/05/17	CRYSTAL STRUCTURE OF DER P 1 COMPLEXED WITH FAB 4C1	MUS MUSCULUS; DERMATOPHAGOIDES PTERONYSSINUS	mus musculus	mus musculus	dermatophagoides pteronyssinus	Chruszcz, M., Vailes, L.D., Chapman, M.D., Pomes, A., Minor, W.	1.95	X-RAY DIFFRACTION	0.19899999999999998	0.156	False	True	IGHV3	IGKV14	Kappa	1.9e-08	-10.533664762780313	ITC	NA	TBD
7r87	C	D	0	B | A	protein | protein	NA | NA	atp-binding cassette sub-family g member 8 | atp-binding cassette sub-family g member 5	LIPID TRANSPORT/IMMUNE SYSTEM	09/08/21	The structure of human ABCG5-WT/ABCG8-I419E	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens | homo sapiens	Sun, Y., Li, X., Long, T.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV9	Kappa	None	None	None	None	None
5vpl	D	C	0	A	protein	NA	der f 1 variant	HYDROLASE/IMMUNE SYSTEM	05/05/17	CRYSTAL STRUCTURE OF DER F 1 COMPLEXED WITH FAB 4C1	MUS MUSCULUS; DERMATOPHAGOIDES FARINAE	mus musculus	mus musculus	dermatophagoides farinae	Chruszcz, M., Vailes, L.D., Chapman, M.D., Pomes, A., Minor, W.	1.9	X-RAY DIFFRACTION	0.19399999999999998	0.152	False	True	IGHV3	IGKV14	Kappa	1.7e-08	-10.599564136380756	ITC	NA	TBD
7r89	C	D	0	B | A	protein | protein	NA | NA	atp-binding cassette sub-family g member 8 | atp-binding cassette sub-family g member 5	LIPID TRANSPORT	09/08/21	The structure of human ABCG5/ABCG8 purified from yeast	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens | homo sapiens	Sun, Y., Li, X., Long, T.	2.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV9	Kappa	None	None	None	None	None
7r88	C	D	0	B | A	protein | protein	NA | NA	atp-binding cassette sub-family g member 8 | atp-binding cassette sub-family g member 5	LIPID TRANSPORT/IMMUNE SYSTEM	09/08/21	The structure of human ABCG5-I529W/ABCG8-WT	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens | homo sapiens	Sun, Y., Li, X., Long, T.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV9	Kappa	None	None	None	None	None
5vph	D	C	0	A	protein	NA	peptidase 1	HYDROLASE/IMMUNE SYSTEM	05/05/17	CRYSTAL STRUCTURE OF DER P 1 COMPLEXED WITH FAB 4C1	MUS MUSCULUS; DERMATOPHAGOIDES PTERONYSSINUS	mus musculus	mus musculus	dermatophagoides pteronyssinus	Chruszcz, M., Vailes, L.D., Chapman, M.D., Pomes, A., Minor, W.	2.5	X-RAY DIFFRACTION	0.229	0.178	False	True	IGHV3	IGKV14	Kappa	None	None	None	None	None
3ze0	H	L	0	A | D	protein | protein	NA | NA	integrin alpha-iib | integrin beta-3	CELL ADHESION/IMMUNE SYSTEM/PEPTIDE	12/03/12	Integrin alphaIIB beta3 headpiece and RGD peptide complex	MUS MUSCULUS; HOMO SAPIENS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens | homo sapiens	Zhu, J.H., Zhu, J.Q., Springer, T.A.	2.95	X-RAY DIFFRACTION	0.2427	0.1847	False	True	IGHV14	IGKV14	Kappa	None	None	None
3ze0	E	F	0	C	protein	NA	integrin alpha-iib	CELL ADHESION/IMMUNE SYSTEM/PEPTIDE	12/03/12	Integrin alphaIIB beta3 headpiece and RGD peptide complex	MUS MUSCULUS; HOMO SAPIENS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Zhu, J.H., Zhu, J.Q., Springer, T.A.	2.95	X-RAY DIFFRACTION	0.2427	0.1847	False	True	IGHV14	IGKV14	Kappa	None	None	None
3ze1	E	F	0	C	protein	NA	integrin alpha-iib	CELL ADHESION/IMMUNE SYSTEM/PEPTIDE	12/03/12	Integrin alphaIIB beta3 headpiece and RGD peptide complex	HOMO SAPIENS; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Zhu, J.H., Zhu, J.Q., Springer, T.A.	3.0	X-RAY DIFFRACTION	0.2330	0.1749	False	True	IGHV14	IGKV14	Kappa	None	None	None
3ze1	H	L	0	A | D	protein | protein	NA | NA	integrin alpha-iib | integrin beta-3	CELL ADHESION/IMMUNE SYSTEM/PEPTIDE	12/03/12	Integrin alphaIIB beta3 headpiece and RGD peptide complex	HOMO SAPIENS; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens | homo sapiens	Zhu, J.H., Zhu, J.Q., Springer, T.A.	3.0	X-RAY DIFFRACTION	0.2330	0.1749	False	True	IGHV14	IGKV14	Kappa	None	None	None
3ze2	E	F	0	A	protein	NA	integrin alpha-iib	CELL ADHESION/IMMUNE SYSTEM/PEPTIDE	12/03/12	Integrin alphaIIB beta3 headpiece and RGD peptide complex	HOMO SAPIENS; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Zhu, J.H., Zhu, J.Q., Springer, T.A.	2.35	X-RAY DIFFRACTION	0.2037	0.1753	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
3ze2	H	L	0	C	protein	NA	integrin alpha-iib	CELL ADHESION/IMMUNE SYSTEM/PEPTIDE	12/03/12	Integrin alphaIIB beta3 headpiece and RGD peptide complex	HOMO SAPIENS; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Zhu, J.H., Zhu, J.Q., Springer, T.A.	2.35	X-RAY DIFFRACTION	0.2037	0.1753	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
6xlq	E	F	0	D	protein	NA	butyrophilin subfamily 3 member a1	IMMUNE SYSTEM	06/29/20	Crystal Structure of the Human BTN3A1 Ectodomain in Complex with the CTX-2026 Fab	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Payne, K.K., Mine, J.A., Biswas, S., Chaurio, R.A., Perales-Puchalt, A., Anadon, C.M., Costich, T.L., Harro, C.M., Walrath, J., Ming, Q., Tcyganov, E., Buras, A.L., Rigolizzo, K.E., Mandal, G., Lajoie, J., Ophir, M., Tchou, J., Marchion, D., Luca, V.C., Bobrowicz, P., McLaughlin, B., Eskiocak, U., Schmidt, M., Cubillos-Ruiz, J.R., Rodriguez, P.C., Gabrilovich, D.I., Conejo-Garcia, J.R.	3.0	X-RAY DIFFRACTION	0.296	0.246	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6xlq	B	C	0	A	protein	NA	butyrophilin subfamily 3 member a1	IMMUNE SYSTEM	06/29/20	Crystal Structure of the Human BTN3A1 Ectodomain in Complex with the CTX-2026 Fab	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Payne, K.K., Mine, J.A., Biswas, S., Chaurio, R.A., Perales-Puchalt, A., Anadon, C.M., Costich, T.L., Harro, C.M., Walrath, J., Ming, Q., Tcyganov, E., Buras, A.L., Rigolizzo, K.E., Mandal, G., Lajoie, J., Ophir, M., Tchou, J., Marchion, D., Luca, V.C., Bobrowicz, P., McLaughlin, B., Eskiocak, U., Schmidt, M., Cubillos-Ruiz, J.R., Rodriguez, P.C., Gabrilovich, D.I., Conejo-Garcia, J.R.	3.0	X-RAY DIFFRACTION	0.296	0.246	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6xlq	H	I	0	G	protein	NA	butyrophilin subfamily 3 member a1	IMMUNE SYSTEM	06/29/20	Crystal Structure of the Human BTN3A1 Ectodomain in Complex with the CTX-2026 Fab	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Payne, K.K., Mine, J.A., Biswas, S., Chaurio, R.A., Perales-Puchalt, A., Anadon, C.M., Costich, T.L., Harro, C.M., Walrath, J., Ming, Q., Tcyganov, E., Buras, A.L., Rigolizzo, K.E., Mandal, G., Lajoie, J., Ophir, M., Tchou, J., Marchion, D., Luca, V.C., Bobrowicz, P., McLaughlin, B., Eskiocak, U., Schmidt, M., Cubillos-Ruiz, J.R., Rodriguez, P.C., Gabrilovich, D.I., Conejo-Garcia, J.R.	3.0	X-RAY DIFFRACTION	0.296	0.246	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6xlq	K	L	0	J	protein	NA	butyrophilin subfamily 3 member a1	IMMUNE SYSTEM	06/29/20	Crystal Structure of the Human BTN3A1 Ectodomain in Complex with the CTX-2026 Fab	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Payne, K.K., Mine, J.A., Biswas, S., Chaurio, R.A., Perales-Puchalt, A., Anadon, C.M., Costich, T.L., Harro, C.M., Walrath, J., Ming, Q., Tcyganov, E., Buras, A.L., Rigolizzo, K.E., Mandal, G., Lajoie, J., Ophir, M., Tchou, J., Marchion, D., Luca, V.C., Bobrowicz, P., McLaughlin, B., Eskiocak, U., Schmidt, M., Cubillos-Ruiz, J.R., Rodriguez, P.C., Gabrilovich, D.I., Conejo-Garcia, J.R.	3.0	X-RAY DIFFRACTION	0.296	0.246	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5g64	I	M	0	B	protein	NA	ig epsilon chain c region	IMMUNE SYSTEM	06/14/16	The complex between human IgE-Fc and two anti-IgE Fab fragments	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Davies, A.M., Allan, E.G., Keeble, A.H., Delgado, J., Cossins, B.P., Mitropoulou, A.N., Pang, M.O.Y., Ceska, T., Beavil, A.J., Craggs, G., Westwood, M., Henry, A.J., McDonnell, J.M., Sutton, B.J.	3.715	X-RAY DIFFRACTION	0.309	0.259	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5g64	H	L	0	A	protein	NA	ig epsilon chain c region	IMMUNE SYSTEM	06/14/16	The complex between human IgE-Fc and two anti-IgE Fab fragments	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Davies, A.M., Allan, E.G., Keeble, A.H., Delgado, J., Cossins, B.P., Mitropoulou, A.N., Pang, M.O.Y., Ceska, T., Beavil, A.J., Craggs, G., Westwood, M., Henry, A.J., McDonnell, J.M., Sutton, B.J.	3.715	X-RAY DIFFRACTION	0.309	0.259	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6vmk	l	k	0	m	protein	NA	unknown	HYDROLASE/IMMUNE SYSTEM	01/28/20	Crystal structure of human Complement Factor D with anti-Factor D Fab 20D12	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wu, P., Harris, S.F., Eigenbrot, C.	3.01	X-RAY DIFFRACTION	0.215	0.174	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None
6vmk	E	D	0	F	protein	NA	fab y49r heavy chain	HYDROLASE/IMMUNE SYSTEM	01/28/20	Crystal structure of human Complement Factor D with anti-Factor D Fab 20D12	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wu, P., Harris, S.F., Eigenbrot, C.	3.01	X-RAY DIFFRACTION	0.215	0.174	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6vmk	Z	Y	0	a	protein	NA	unknown	HYDROLASE/IMMUNE SYSTEM	01/28/20	Crystal structure of human Complement Factor D with anti-Factor D Fab 20D12	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wu, P., Harris, S.F., Eigenbrot, C.	3.01	X-RAY DIFFRACTION	0.215	0.174	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6vmk	i	h	0	j	protein	NA	unknown	HYDROLASE/IMMUNE SYSTEM	01/28/20	Crystal structure of human Complement Factor D with anti-Factor D Fab 20D12	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wu, P., Harris, S.F., Eigenbrot, C.	3.01	X-RAY DIFFRACTION	0.215	0.174	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None
6vmk	u	t	0	v	protein	NA	unknown	HYDROLASE/IMMUNE SYSTEM	01/28/20	Crystal structure of human Complement Factor D with anti-Factor D Fab 20D12	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wu, P., Harris, S.F., Eigenbrot, C.	3.01	X-RAY DIFFRACTION	0.215	0.174	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None
